,actor,role,film,year,winner
0,Emil Jannings [A],Grand Duke Sergius Alexander,The Last Command,1927,1
1,Richard Barthelmess,Nickie Elkins,The Noose,1927,0
2,Warner Baxter ,The Cisco Kid,In Old Arizona,1928,1
3,George Bancroft,Thunderbolt Jim Lang,Thunderbolt,1928,0
4,Chester Morris,Chick Williams,Alibi,1928,0
5,Paul Muni,James Dyke,The Valiant,1928,0
6,Lewis Stone,Count Pahlen,The Patriot,1928,0
7,George Arliss [B],Benjamin Disraeli,Disraeli,1929,1
8,George Arliss[B],The Raja,The Green Goddess,1929,0
9,Wallace Beery,"Butch ""Machine Gun"" Schmidt",The Big House,1929,0
10,Maurice Chevalier [B],Pierre Mirande,The Big Pond,1929,0
11,Ronald Colman [B],"Capt. Hugh ""Bulldog"" Drummond",Bulldog Drummond,1929,0
12,Lawrence Tibbett,Yegor,The Rogue Song,1929,0
13,Lionel Barrymore ,Stephen Ashe,A Free Soul,1930,1
14,Jackie Cooper,Skippy Skinner,Skippy,1930,0
15,Richard Dix,Yancey Cravat,Cimarron,1930,0
16,Fredric March,Tony Cavendish,The Royal Family of Broadway,1930,0
17,Adolphe Menjou,Walter Burns,The Front Page,1930,0
18,Wallace Beery  (TIE) [C],"Andy ""Champ"" Purcell",The Champ,1931,1
19,Fredric March  (TIE) [C],Dr. Henry Jekyll / Mr. Edward Hyde,Dr. Jekyll and Mr. Hyde,1931,1
20,Alfred Lunt,The Actor,The Guardsman,1931,0
21,Charles Laughton ,King Henry VIII,The Private Life of Henry VIII,1932,1
22,Leslie Howard,Peter Standish,Berkeley Square,1932,0
23,Paul Muni,James Allen,I Am a Fugitive from a Chain Gang,1932,0
24,Clark Gable ,Peter Warne,It Happened One Night,1934,1
25,Frank Morgan,"Alessandro, Duke of Florence",The Affairs of Cellini,1934,0
26,William Powell,Nick Charles,The Thin Man,1934,0
27,Victor McLaglen ,Gypo Nolan,The Informer,1935,1
28,Clark Gable,Lt. Fletcher Christian,Mutiny on the Bounty,1935,0
29,Paul Muni ,Louis Pasteur,The Story of Louis Pasteur,1936,1
30,Gary Cooper,Longfellow Deeds,Mr. Deeds Goes to Town,1936,0
31,Walter Huston,Sam Dodsworth,Dodsworth,1936,0
32,William Powell,Godfrey Park,My Man Godfrey,1936,0
33,Spencer Tracy,Father Tim Mullin,San Francisco,1936,0
34,Spencer Tracy ,Manuel Fidello,Captains Courageous,1937,1
35,Charles Boyer,Emperor Napoleon Bonaparte,Conquest,1937,0
36,Fredric March,Norman Maine,A Star Is Born,1937,0
37,Robert Montgomery,Danny,Night Must Fall,1937,0
38,Paul Muni,Émile Zola,The Life of Emile Zola,1937,0
39,Spencer Tracy ,Father Flanagan,Boys Town,1938,1
40,Charles Boyer,Pepe le Moko,Algiers,1938,0
41,James Cagney,Rocky Sullivan,Angels with Dirty Faces,1938,0
42,Robert Donat,Dr. Andrew Manson,The Citadel,1938,0
43,Leslie Howard,Professor Henry Higgins,Pygmalion,1938,0
44,Robert Donat ,Charles Edward Chipping,"Goodbye, Mr. Chips",1939,1
45,Clark Gable,Rhett Butler,Gone with the Wind,1939,0
46,Laurence Olivier,Heathcliff,Wuthering Heights,1939,0
47,Mickey Rooney,Mickey Moran,Babes in Arms,1939,0
48,James Stewart,Jefferson Smith,Mr. Smith Goes to Washington,1939,0
49,James Stewart ,"Macaulay ""Mike"" Connor",The Philadelphia Story,1940,1
50,Charlie Chaplin,"Adenoid Hynkel and ""The Barber""",The Great Dictator,1940,0
51,Henry Fonda,Tom Joad,The Grapes of Wrath,1940,0
52,Raymond Massey,Abraham Lincoln,Abe Lincoln in Illinois,1940,0
53,Laurence Olivier,"Maximilian ""Maxim"" de Winter",Rebecca,1940,0
54,Gary Cooper ,Sgt. Alvin York,Sergeant York,1941,1
55,Cary Grant,Roger Adams,Penny Serenade,1941,0
56,Walter Huston,Mr. Scratch,The Devil and Daniel Webster,1941,0
57,Robert Montgomery,Joe Pendleton,Here Comes Mr. Jordan,1941,0
58,Orson Welles,Charles Foster Kane,Citizen Kane,1941,0
59,James Cagney ,George M. Cohan,Yankee Doodle Dandy,1942,1
60,Ronald Colman,Charles Rainier,Random Harvest,1942,0
61,Gary Cooper,Lou Gehrig,The Pride of the Yankees,1942,0
62,Walter Pidgeon,Clem Miniver,Mrs. Miniver,1942,0
63,Monty Woolley,Howard,The Pied Piper,1942,0
64,Paul Lukas ,Kurt Muller,Watch on the Rhine,1943,1
65,Humphrey Bogart,Rick Blaine,Casablanca,1943,0
66,Gary Cooper,Robert Jordan,For Whom the Bell Tolls,1943,0
67,Walter Pidgeon,Pierre Curie,Madame Curie,1943,0
68,Mickey Rooney,Homer Macauley,The Human Comedy,1943,0
69,Bing Crosby ,Father Chuck O'Malley,Going My Way,1944,1
70,Charles Boyer,Gregory Anton,Gaslight,1944,0
71,Barry Fitzgerald,Father Fitzgibbon,Going My Way,1944,0
72,Cary Grant,Ernie Mott,None but the Lonely Heart,1944,0
73,Alexander Knox,Woodrow Wilson,Wilson,1944,0
74,Ray Milland ,Don Birnam,The Lost Weekend,1945,1
75,Bing Crosby,Father Chuck O'Malley,The Bells of St. Mary's,1945,0
76,Gene Kelly,Joseph Brady,Anchors Aweigh,1945,0
77,Gregory Peck,Father Francis,The Keys of the Kingdom,1945,0
78,Cornel Wilde,Frédéric Chopin,A Song to Remember,1945,0
79,Fredric March ,Platoon Sergeant Al Stephenson,The Best Years of Our Lives,1946,1
80,Laurence Olivier,King Henry V of England,Henry V,1946,0
81,Larry Parks,Al Jolson,The Jolson Story,1946,0
82,Gregory Peck,"Ezra ""Penny"" Baxter",The Yearling,1946,0
83,James Stewart,George Bailey,It's a Wonderful Life,1946,0
84,Ronald Colman ,Anthony John,A Double Life,1947,1
85,John Garfield,Charlie Davis,Body and Soul,1947,0
86,Gregory Peck,Philip Schuyler Green,Gentleman's Agreement,1947,0
87,William Powell,"Clarence Day, Sr.",Life with Father,1947,0
88,Michael Redgrave,Orin Mannon,Mourning Becomes Electra,1947,0
89,Laurence Olivier ,"Hamlet, Prince of Denmark",Hamlet,1948,1
90,Lew Ayres,Dr. Robert Richardson,Johnny Belinda,1948,0
91,Montgomery Clift,"Ralph ""Steve"" Stevenson",The Search,1948,0
92,Dan Dailey,"""Skid"" Johnson",When My Baby Smiles at Me,1948,0
93,Clifton Webb,Lynn Aloysius Belvedere,Sitting Pretty,1948,0
94,Broderick Crawford ,Willie Stark,All the King's Men,1949,1
95,Kirk Douglas,"Michael ""Midge"" Kelly",Champion,1949,0
96,Gregory Peck,Brig. General Frank Savage,Twelve O'Clock High,1949,0
97,Richard Todd,"Cpl. Lachlan ""Lachie"" MacLachlan",The Hasty Heart,1949,0
98,John Wayne,Sergeant John M. Stryker,Sands of Iwo Jima,1949,0
99,José Ferrer ,Cyrano de Bergerac,Cyrano de Bergerac,1950,1
100,Louis Calhern,Oliver Wendell Holmes,The Magnificent Yankee,1950,0
101,William Holden,Joe Gillis,Sunset Boulevard,1950,0
102,James Stewart,Elwood P. Dowd,Harvey,1950,0
103,Spencer Tracy,Stanley T. Banks,Father of the Bride,1950,0
104,Humphrey Bogart ,Charlie Allnut,The African Queen,1951,1
105,Marlon Brando,Stanley Kowalski,A Streetcar Named Desire,1951,0
106,Montgomery Clift,George Eastman,A Place in the Sun,1951,0
107,Arthur Kennedy,Larry Nevins,Bright Victory,1951,0
108,Fredric March,Willy Loman,Death of a Salesman,1951,0
109,Gary Cooper ,Marshal Will Kane,High Noon,1952,1
110,Marlon Brando,Emiliano Zapata,Viva Zapata!,1952,0
111,Kirk Douglas,Jonathan Shields,The Bad and the Beautiful,1952,0
112,José Ferrer,Henri de Toulouse-Lautrec and Comte Alphonse de Toulouse-Lautrec,Moulin Rouge,1952,0
113,Alec Guinness,Henry Holland,The Lavender Hill Mob,1952,0
114,William Holden ,Sgt. J.J. Sefton,Stalag 17,1953,1
115,Marlon Brando,Mark Antony,Julius Caesar,1953,0
116,Richard Burton,Marcellus Gallio,The Robe,1953,0
117,Montgomery Clift,"Pvt. Robert E. Lee ""Prew"" Prewitt",From Here to Eternity,1953,0
118,Marlon Brando ,Terry Malloy,On the Waterfront,1954,1
119,Humphrey Bogart,Lt. Cmdr. Philip Francis Queeg,The Caine Mutiny,1954,0
120,Bing Crosby,Frank Elgin,The Country Girl,1954,0
121,James Mason,Norman Maine,A Star Is Born,1954,0
122,Dan O'Herlihy,Robinson Crusoe,Robinson Crusoe,1954,0
123,Ernest Borgnine ,Marty Piletti,Marty,1955,1
124,James Cagney,Martin Snyder,Love Me or Leave Me,1955,0
125,James Dean (posthumous),Cal Trask,East of Eden,1955,0
126,Frank Sinatra,Frankie Machine,The Man with the Golden Arm,1955,0
127,Spencer Tracy,John J. Macreedy,Bad Day at Black Rock,1955,0
128,Yul Brynner ,King Mongkut of Siam,The King and I,1956,1
129,James Dean (posthumous),Jett Rink,Giant,1956,0
130,Kirk Douglas,Vincent van Gogh,Lust for Life,1956,0
131,Rock Hudson,"Jordan ""Bick"" Benedict Jr.",Giant,1956,0
132,Laurence Olivier,King Richard III of England,Richard III,1956,0
133,Alec Guinness ,Lt. Colonel Nicholson,The Bridge on the River Kwai,1957,1
134,Marlon Brando,"Major Lloyd ""Ace"" Gruver, USAF",Sayonara,1957,0
135,Anthony Franciosa,Polo Pope,A Hatful of Rain,1957,0
136,Charles Laughton,Sir Wilfrid Robarts,Witness for the Prosecution,1957,0
137,Anthony Quinn,Gino,Wild Is the Wind,1957,0
138,David Niven ,Major Angus Pollock,Separate Tables,1958,1
139,Tony Curtis,"John ""Joker"" Jackson",The Defiant Ones,1958,0
140,Paul Newman,Brick Pollitt,Cat on a Hot Tin Roof,1958,0
141,Sidney Poitier,Noah Cullen,The Defiant Ones,1958,0
142,Spencer Tracy,The Old Man,The Old Man and the Sea,1958,0
143,Charlton Heston ,Judah Ben-Hur,Ben-Hur,1959,1
144,Laurence Harvey,Joe Lampton,Room at the Top,1959,0
145,Jack Lemmon,Jerry / Daphne,Some Like It Hot,1959,0
146,Paul Muni,Dr. Sam Abelman,The Last Angry Man,1959,0
147,James Stewart,Paul Biegler,Anatomy of a Murder,1959,0
148,Burt Lancaster ,Elmer Gantry,Elmer Gantry,1960,1
149,Trevor Howard,Walter Morel,Sons and Lovers,1960,0
150,Jack Lemmon,"C. C. ""Bud"" Baxter",The Apartment,1960,0
151,Laurence Olivier,Archie Rice,The Entertainer,1960,0
152,Spencer Tracy,Henry Drummond,Inherit the Wind,1960,0
153,Maximilian Schell ,Hans Rolfe,Judgment at Nuremberg,1961,1
154,Charles Boyer,Cesar,Fanny,1961,0
155,Paul Newman,Eddie Felson,The Hustler,1961,0
156,Spencer Tracy,Chief Judge Dan Haywood,Judgment at Nuremberg,1961,0
157,Stuart Whitman,Jim Fuller,The Mark,1961,0
158,Gregory Peck ,Atticus Finch,To Kill a Mockingbird,1962,1
159,Burt Lancaster,Robert Stroud,Birdman of Alcatraz,1962,0
160,Jack Lemmon,Joe Clay,Days of Wine and Roses,1962,0
161,Marcello Mastroianni,Ferdinando Cefalù,Divorce Italian Style,1962,0
162,Peter O'Toole,T. E. Lawrence,Lawrence of Arabia,1962,0
163,Sidney Poitier ,Homer Smith,Lilies of the Field,1963,1
164,Albert Finney,Tom Jones,Tom Jones,1963,0
165,Richard Harris,Frank Machin,This Sporting Life,1963,0
166,Rex Harrison,Julius Caesar,Cleopatra,1963,0
167,Paul Newman,Hud Bannon,Hud,1963,0
168,Rex Harrison ,Professor Henry Higgins,My Fair Lady,1964,1
169,Richard Burton,Thomas Becket,Becket,1964,0
170,Anthony Quinn,Alexis Zorba,Zorba the Greek,1964,0
171,Peter Sellers,"Group Captain Lionel Mandrake, President Merkin Muffley, and Dr. Strangelove",Dr. Strangelove,1964,0
172,Lee Marvin ,Kid Shelleen and Tim Strawn,Cat Ballou,1965,1
173,Richard Burton,Alec Leamas,The Spy Who Came In from the Cold,1965,0
174,Laurence Olivier,Othello,Othello,1965,0
175,Rod Steiger,Sol Nazerman,The Pawnbroker,1965,0
176,Oskar Werner,Willie Schumann,Ship of Fools,1965,0
177,Paul Scofield ,Sir Thomas More,A Man for All Seasons,1966,1
178,Alan Arkin,Lt. Rozanov,"The Russians Are Coming, the Russians Are Coming",1966,0
179,Richard Burton,George,Who's Afraid of Virginia Woolf?,1966,0
180,Michael Caine,Alfie Elkins,Alfie,1966,0
181,Steve McQueen,Jake Holman,The Sand Pebbles,1966,0
182,Rod Steiger ,Police Chief Bill Gillespie,In the Heat of the Night,1967,1
183,Warren Beatty,Clyde Barrow,Bonnie and Clyde,1967,0
184,Dustin Hoffman,Benjamin Braddock,The Graduate,1967,0
185,Paul Newman,"Lucas ""Cool Hand Luke"" Jackson",Cool Hand Luke,1967,0
186,Spencer Tracy (posthumous),Matt Drayton,Guess Who's Coming to Dinner,1967,0
187,Cliff Robertson ,Charly Gordon,Charly,1968,1
188,Alan Arkin,John Singer,The Heart Is a Lonely Hunter,1968,0
189,Alan Bates,Yakov Bok,The Fixer,1968,0
190,Ron Moody,Fagin,Oliver!,1968,0
191,Peter O'Toole,King Henry II of England,The Lion in Winter,1968,0
192,John Wayne ,"Reuben ""Rooster"" Cogburn",True Grit,1969,1
193,Richard Burton,King Henry VIII,Anne of the Thousand Days,1969,0
194,Dustin Hoffman,"Enrico Salvatore ""Ratso"" ""Rico"" Rizzo",Midnight Cowboy,1969,0
195,Peter O'Toole,Arthur Chipping,"Goodbye, Mr. Chips",1969,0
196,Jon Voight,Joe Buck,Midnight Cowboy,1969,0
197,George C. Scott §[52],General George S. Patton Jr.,Patton,1970,1
198,Melvyn Douglas,Tom Garrison,I Never Sang for My Father,1970,0
199,James Earl Jones,Jack Jefferson,The Great White Hope,1970,0
200,Jack Nicholson,Robert Eroica Dupea,Five Easy Pieces,1970,0
201,Ryan O'Neal,Oliver Barrett IV,Love Story,1970,0
202,Gene Hackman ,"Detective Jimmy ""Popeye"" Doyle",The French Connection,1971,1
203,Peter Finch,Dr. Daniel Hirsh,Sunday Bloody Sunday,1971,0
204,Walter Matthau,Joseph P. Kotcher,Kotch,1971,0
205,George C. Scott,Dr. Herbert Bock,The Hospital,1971,0
206,Topol,Tevye,Fiddler on the Roof,1971,0
207,Marlon Brando §[52],Vito Corleone,The Godfather,1972,1
208,Michael Caine,Milo Tindle,Sleuth,1972,0
209,Peter O'Toole,"Jack Gurney, 14th Earl of Gurney",The Ruling Class,1972,0
210,Paul Winfield,Nathan Lee Morgan,Sounder,1972,0
211,Jack Lemmon ,Harry Stoner,Save the Tiger,1973,1
212,Marlon Brando,Paul,Last Tango in Paris,1973,0
213,Jack Nicholson,"Signalman First Class Billy L. ""Badass"" Buddusky",The Last Detail,1973,0
214,Al Pacino,Frank Serpico,Serpico,1973,0
215,Robert Redford,"Johnny ""Kelly"" Hooker",The Sting,1973,0
216,Art Carney ,Harry Coombes,Harry and Tonto,1974,1
217,Albert Finney,Hercule Poirot,Murder on the Orient Express,1974,0
218,Dustin Hoffman,Lenny Bruce,Lenny,1974,0
219,Jack Nicholson,"J. J. ""Jake"" Gittes",Chinatown,1974,0
220,Al Pacino,Michael Corleone,The Godfather Part II,1974,0
221,Jack Nicholson ,"Randle Patrick ""Mac"" McMurphy",One Flew Over the Cuckoo's Nest,1975,1
222,Walter Matthau,Willy Clark,The Sunshine Boys,1975,0
223,Al Pacino,Sonny Wortzik,Dog Day Afternoon,1975,0
224,Maximilian Schell,Arthur Goldman,The Man in the Glass Booth,1975,0
225,James Whitmore,Harry S. Truman,"Give 'em Hell, Harry!",1975,0
